gene	cnv
APBB1IP	1.96
APBB2	2.05
APBB3	1.963
APC	1.963
APC2	2.368
APCDD1	2.129
APCDD1L	1.849
APCDD1L-AS1	1.849
APCS	1.973
APEH	1.635
APELA	2
APEX1	1.92
APEX2	2.147
APH1A	1.973
APH1B	2
API5	2.205
APIP	2.205
APITD1-CORT	2.053
APLF	1.975
APLN	2.147
APLNR	2.205
APLP1	2.142
APLP2	1.922
APMAP	1.849
APOA1	1.922
APOA1-AS	1.922
APOA2	1.973
APOA4	1.922
APOA5	1.922
APOB	1.975
APOBEC1	2.061
APOBEC2	1.703
APOBEC3A	1.865
APOBEC3A_B	2.243
APOBEC3B	1.865
APOBEC3B-AS1	2.243
APOBEC3C	1.865
APOBEC3D	1.865
APOBEC3F	1.865
APOBEC3G	1.865
APOBEC3H	1.865
APOBEC4	2
APOBR	2.167
APOC1	2.391
APOC1P1	2.391
APOC2	2.391
APOC3	1.922
APOC4	2.391
APOC4-APOC2	2.391
APOD	2.033
APOE	2.391
APOF	2.061
APOH	1.954
APOL1	1.865
APOL2	1.865
APOL3	1.865
APOL4	1.865
APOL5	1.019
APOL6	1.865
APOLD1	2.061
APOM	1.646
APOO	2.147
APOOL	2.147
APOOP5	2
APOPT1	1.92
APP	2.223
APPBP2	1.954
APPL1	1.635
APPL2	2.061
APRT	2.266
APTR	2.009
APTX	1.946
AQP1	2.009
AQP10	1.973
AQP11	1.922
AQP12A	2.13
AQP12B	2.13
AQP2	2.061
AQP3	1.946
AQP4	2.129
AQP4-AS1	2.129
AQP5	2.061
AQP6	2.061
AQP7	1.946
AQP7P1	1.61
AQP7P3	1.61
AQP8	2.167
AQP9	2
AQR	2
AR	2.147
ARAF	2.147
ARAP1	1.922
ARAP2	2.05
ARAP3	1.963
ARC	1.914
ARCN1	1.922
AREG	2.39
AREL1	1.92
ARF1	1.973
ARF3	2.061
ARF4	1.635
ARF4-AS1	2
ARF5	2.009
ARF6	2
ARFGAP1	1.849
ARFGAP2	2.205
ARFGAP3	1.865
ARFGEF1	1.914
ARFGEF2	1.849
ARFGEF3	1.687
ARFIP1	2.39
ARFIP2	2.205
ARFRP1	1.849
ARG1	1.687
ARG2	1.92
ARGFX	2.033
ARGFXP2	1.954
ARGLU1	2.057
ARHGAP1	2.205
ARHGAP10	2.39
ARHGAP11A	1.908
ARHGAP11B	1.908
ARHGAP12	1.96
ARHGAP15	2.13
ARHGAP17	2.167
ARHGAP18	1.687
ARHGAP19	1.96
ARHGAP19-SLIT1	1.96
ARHGAP20	1.922
ARHGAP21	1.96
ARHGAP22	1.96
ARHGAP23	1.869
ARHGAP24	2.39
ARHGAP25	1.975
ARHGAP26	1.963
ARHGAP26-AS1	2
ARHGAP26-IT1	1.963
ARHGAP27	1.804
ARHGAP28	2.129
ARHGAP29	2.053
ARHGAP30	1.973
ARHGAP31	2.033
ARHGAP31-AS1	2
ARHGAP32	1.922
ARHGAP33	2.142
ARHGAP35	2.391
ARHGAP36	2.147
ARHGAP39	1.914
ARHGAP4	2.147
ARHGAP40	1.849
ARHGAP42	1.922
ARHGAP44	1.954
ARHGAP45	2.368
ARHGAP5	1.92
ARHGAP5-AS1	2
ARHGAP6	2.147
ARHGAP8	1.865
ARHGAP9	2.061
ARHGDIA	1.954
ARHGDIB	2.061
ARHGDIG	2.167
ARHGEF1	2.391
ARHGEF10	2.029
ARHGEF10L	2.053
ARHGEF11	1.973
ARHGEF12	1.922
ARHGEF15	1.954
ARHGEF16	2.053
ARHGEF17	1.922
ARHGEF18	2.368
ARHGEF19	2.053
ARHGEF2	1.973
ARHGEF25	2.061
ARHGEF26	2.049
ARHGEF26-AS1	2
ARHGEF28	1.963
ARHGEF3	1.635
ARHGEF3-AS1	1.635
ARHGEF33	1.975
ARHGEF34P	2.009
ARHGEF35	2
ARHGEF37	1.963
ARHGEF38	2.39
ARHGEF38-IT1	2
ARHGEF39	1.946
ARHGEF4	2.13
ARHGEF40	1.92
ARHGEF5	2.009
ARHGEF6	2.147
ARHGEF7	2.057
ARHGEF7-AS1	2
ARHGEF7-AS2	2.057
ARHGEF9	2.147
ARHGEF9-IT1	2
ARID1A	2.053
ARID1B	1.687
ARID2	2.061
ARID3A	2.368
ARID3B	2
ARID3C	1.946
ARID4A	1.92
ARID4B	1.973
ARID5A	2.13
ARID5B	1.96
ARIH1	2
ARIH2	1.635
ARIH2OS	1.635
ARL1	2.061
ARL10	1.963
ARL11	2.057
ARL13A	2.147
ARL13B	1.635
ARL14	2
ARL14EP	2.205
ARL14EPL	1.963
ARL15	1.963
ARL16	1.954
ARL17A	1.804
ARL17B	1.804
ARL2	2.205
ARL2-SNX15	2.205
ARL2BP	2.266
ARL3	1.96
ARL4A	2
ARL4C	2.13
ARL4D	1.954
ARL5A	2.13
ARL5B	1.96
ARL5C	1.954
ARL6	1.635
ARL6IP1	2.167
ARL6IP4	2.061
ARL6IP5	1.635
ARL6IP6	2.13
ARL8A	1.973
ARL8B	1.635
ARL9	2.39
ARMC1	1.914
ARMC10	2.432
ARMC12	1.703
ARMC2	1.687
ARMC2-AS1	2
ARMC3	1.96
ARMC4	1.96
ARMC4P1	1.96
ARMC5	2.167
ARMC6	2.368
ARMC7	1.954
ARMC8	2.033
ARMC9	2.13
ARMCX1	2.147
ARMCX2	2.147
ARMCX3	2
ARMCX4	2.147
ARMCX5	2.147
ARMCX5-GPRASP2	2.147
ARMCX6	2.147
ARMS2	1.96
ARMT1	1.687
ARNT	1.973
ARNT2	2
ARNTL	2.205
ARNTL2	2.061
ARNTL2-AS1	2.061
ARPC1A	2.009
ARPC1B	2.009
ARPC2	2.13
ARPC3	2.061
ARPC4	1.635
ARPC4-TTLL3	1.635
ARPC5	1.973
ARPC5L	1.61
ARPIN	2
ARPP19	2
ARPP21	1.635
ARR3	2.147
ARRB1	1.922
ARRB2	1.954
ARRDC1	1.61
ARRDC1-AS1	2
ARRDC2	2.368
ARRDC3	1.963
ARRDC3-AS1	1.963
ARRDC4	2
ARRDC5	2.368
ARSA	1.865
ARSB	1.963
ARSD	2.147
ARSE	2.147
ARSF	2.147
ARSG	1.954
ARSH	2.147
ARSI	1.963
ARSJ	2.39
ARSK	1.963
ART1	2.205
ART3	2.39
ART4	2.061
ART5	2.205
ARTN	2.053
ARV1	1.973
ARVCF	1.865
ARX	2.147
AS-PTPRE	1.96
AS3MT	1.96
ASAH1	1.914
ASAH2	1.96
ASAH2B	1.96
ASAP1	1.914
ASAP1-IT1	1.914
ASAP1-IT2	1.914
ASAP2	1.975
ASAP3	2.053
ASB1	2.13
ASB10	2.009
ASB11	2.147
ASB12	2.147
ASB13	1.96
ASB14	1.635
ASB15	2.009
ASB16	1.954
ASB16-AS1	1.954
ASB17	2.053
ASB18	2.13
ASB2	1.932
ASB3	1.975
ASB4	2.009
ASB5	2.39
ASB6	1.61
ASB7	2
ASB8	2.061
ASB9	2.147
ASB9P1	2
ASCC1	1.96
ASCC2	1.865
ASCC3	1.687
ASCL1	2.061
ASCL2	2.368
ASCL3	2
ASCL4	2.061
ASCL5	1.973
ASF1A	1.687
ASF1B	2.368
ASGR1	1.954
ASGR2	1.954
ASH1L	1.973
ASH1L-AS1	1.973
ASH2L	1.914
ASIC1	2.061
ASIC2	1.954
ASIC3	2.009
ASIC4	2.13
ASIC5	2.5
ASIP	1.849
ASL	2.009
ASMT	2.147
ASMTL	2.147
ASMTL-AS1	2.147
ASNA1	2.368
ASNS	2.009
ASNSD1	2.13
ASPA	1.954
ASPDH	2.391
ASPG	1.92
ASPH	1.914
ASPHD1	2.167
ASPHD2	1.865
ASPM	1.973
ASPN	1.61
ASPRV1	1.975
ASPSCR1	1.954
ASRGL1	2.205
ASS1	1.61
ASTE1	2.033
ASTL	2.13
ASTN1	1.973
ASTN2	1.61
ASTN2-AS1	2
ASUN	2.061
ASXL1	1.849
ASXL2	1.975
ASXL3	2.129
ASZ1	2.009
ATAD1	1.96
ATAD2	1.914
ATAD2B	1.975
ATAD3A	2.053
ATAD3B	2.053
